Transaction_ID,Lead_ID,Account_ID,Product_ID,Close_Date,Qty,Unit_Price,Total_Amount,Lead_Source,Created_Date,Status,Lead_Score,Company_Name,Market,Country,Industry,Account_Tier,Product_Name,Category,Unit_Cost,Total_Cost,Gross_Profit,Profit_Margin_%,Month
T001,L001,ACC47,P001,2024-01-28,22500,465.0,10462500.0,LinkedIn,2024-01-10,Converted,85,Britannia Industries,Domestic,USA,Infrastructure,Enterprise,SuperExC18H,Cation,200.0,4500000.0,5962500.0,56.98924731182796,2024-01
T002,L002,ACC48,P003,2024-02-06,6500,612.5,3981250.0,Indiamart,2024-01-12,Converted,90,Diageo India,International,India,Pharma,Mid-Market,EDMAXG,Mixed Bed,250.0,1625000.0,2356250.0,59.183673469387756,2024-02
T003,L004,ACC12,P002,2024-02-04,15500,560.0,8680000.0,Referral,2024-01-20,Converted,75,Dow Chemical,International,USA,Chemicals,Enterprise,SuperExC18Na,Cation,250.0,3875000.0,4805000.0,55.35714285714286,2024-02
T004,L006,ACC07,P010,2024-02-21,11500,526.5,6054750.0,Website,2024-02-05,Converted,88,Adani Group,Domestic,India,Infrastructure,Enterprise,SuperMENitrex,Media,290.0,3335000.0,2719750.0,44.91927825261159,2024-02
T005,L007,ACC36,P007,2024-02-18,14000,747.0,10458000.0,Indiamart,2024-02-10,Converted,92,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExMB50,Mixed Bed,350.0,4900000.0,5558000.0,53.14591700133868,2024-02
T006,L009,ACC11,P004,2024-02-24,21000,573.5,12043500.0,Referral,2024-02-18,Converted,80,Dr. Reddy's,Domestic,India,Pharma,Enterprise,EDMAXM,Mixed Bed,270.0,5670000.0,6373500.0,52.92066259808196,2024-02
T007,L011,ACC46,P006,2024-03-14,22000,630.0,13860000.0,Outbound,2024-03-01,Converted,82,ITC Limited,International,India,Oil & Gas,Enterprise,SuperExA14OH,Anion,350.0,7700000.0,6160000.0,44.44444444444444,2024-03
T008,L012,ACC21,P009,2024-03-29,3000,494.0,1482000.0,LinkedIn,2024-03-05,Converted,89,BHEL (Bharat Heavy Electricals Limited),Domestic,India,Petrochemical,Enterprise,SuperMEIRM,Media,280.0,840000.0,642000.0,43.31983805668016,2024-03
T009,L014,ACC43,P005,2024-04-04,20000,870.0,17400000.0,Indiamart,2024-03-15,Converted,77,Jindal Stainless,Domestic,USA,Energy,Mid-Market,SuperExA14Cl,Anion,500.0,10000000.0,7400000.0,42.5287356321839,2024-04
T010,L015,ACC36,P001,2024-04-18,4000,465.0,1860000.0,Referral,2024-03-20,Converted,95,Lupin Limited,International,USA,Oil & Gas,Enterprise,SuperExC18H,Cation,200.0,800000.0,1060000.0,56.98924731182796,2024-04
